Mag1,Ang1,Mag2,Ang2,DiffMag,DiffAng,RMag,Status,diff
1,0,1,-5,2,-2.5,1,TRUE,1.998096443
1,0,1,-15,1.98,-7.5,1,TRUE,1.963060826
1,0,1,-25,1.95,-12.5,1,TRUE,1.903777214
1,0,1,-35,1.91,-17.5,1,TRUE,1.821599376
1,0,1,-45,1.85,-22.5,1,TRUE,1.709177135
1,0,1,-55,1.77,-27.5,1,TRUE,1.570009175
1,0,1,-65,1.69,-32.5,1,TRUE,1.425331543
1,0,1,-75,1.59,-37.5,1,TRUE,1.261431811
1,0,1,-85,1.47,-42.5,1,TRUE,1.083797685
1,0,1,-95,1.35,-47.5,1,FALSE,0.91204678
1,0,1,-105,1.22,-52.5,1,FALSE,0.742688943
1,0,1,-115,1.07,-57.5,1,FALSE,0.574910581
1,0,1,-125,0.92,-62.5,1,FALSE,0.424808724
1,0,1,-135,0.77,-67.5,1,FALSE,0.294666243
1,0,1,-145,0.6,-72.5,1,FALSE,0.18042348
1,0,1,-155,0.43,-77.5,1,FALSE,0.093069034
1,0,1,-165,0.26,-82.5,1,FALSE,0.03393681
1,0,1,-175,0.09,-87.5,1,FALSE,0.003925745
1,0,1,-185,0.09,-272.5,1,FALSE,0.003925745
1,0,1,-195,0.26,-277.5,1,FALSE,0.03393681
1,0,1,-205,0.43,-282.5,1,FALSE,0.093069034
1,0,1,-215,0.6,-287.5,1,FALSE,0.18042348
1,0,1,-225,0.77,-292.5,1,FALSE,0.294666243
1,0,1,-235,0.92,-297.5,1,FALSE,0.424808724
1,0,1,-245,1.07,-302.5,1,FALSE,0.574910581
1,0,1,-255,1.22,-307.5,1,FALSE,0.742688943
1,0,1,-265,1.35,-312.5,1,FALSE,0.91204678
1,0,1,-275,1.47,-317.5,1,TRUE,1.083797685
1,0,1,-285,1.59,-322.5,1,TRUE,1.261431811
1,0,1,-295,1.69,-327.5,1,TRUE,1.425331543
1,0,1,-305,1.77,-332.5,1,TRUE,1.570009175
1,0,1,-315,1.85,-337.5,1,TRUE,1.709177135
1,0,1,-325,1.91,-342.5,1,TRUE,1.821599376
1,0,1,-335,1.95,-347.5,1,TRUE,1.903777214
1,0,1,-345,1.98,-352.5,1,TRUE,1.963060826
1,0,1,-355,2,-357.5,1,TRUE,1.998096443
2,0,2,-5,4,-2.5,2,TRUE,3.996192886
2,0,2,-15,3.97,-7.5,2,TRUE,3.9360361
2,0,2,-25,3.91,-12.5,2,TRUE,3.817317388
2,0,2,-35,3.81,-17.5,2,TRUE,3.633661582
2,0,2,-45,3.7,-22.5,2,TRUE,3.41835427
2,0,2,-55,3.55,-27.5,2,TRUE,3.148888458
2,0,2,-65,3.37,-32.5,2,TRUE,2.842229172
2,0,2,-75,3.17,-37.5,2,TRUE,2.514930089
2,0,2,-85,2.95,-42.5,2,TRUE,2.174968144
2,0,2,-95,2.7,-47.5,2,FALSE,1.824093561
2,0,2,-105,2.44,-52.5,2,FALSE,1.485377887
2,0,2,-115,2.15,-57.5,2,FALSE,1.155194158
2,0,2,-125,1.85,-62.5,2,FALSE,0.854234934
2,0,2,-135,1.53,-67.5,2,FALSE,0.585505652
2,0,2,-145,1.2,-72.5,2,FALSE,0.360846959
2,0,2,-155,0.87,-77.5,2,FALSE,0.188302464
2,0,2,-165,0.52,-82.5,2,FALSE,0.06787362
2,0,2,-175,0.17,-87.5,2,FALSE,0.007415296
2,0,2,-185,0.17,-272.5,2,FALSE,0.007415296
2,0,2,-195,0.52,-277.5,2,FALSE,0.06787362
2,0,2,-205,0.87,-282.5,2,FALSE,0.188302464
2,0,2,-215,1.2,-287.5,2,FALSE,0.360846959
2,0,2,-225,1.53,-292.5,2,FALSE,0.585505652
2,0,2,-235,1.85,-297.5,2,FALSE,0.854234934
2,0,2,-245,2.15,-302.5,2,FALSE,1.155194158
2,0,2,-255,2.44,-307.5,2,FALSE,1.485377887
2,0,2,-265,2.7,-312.5,2,FALSE,1.824093561
2,0,2,-275,2.95,-317.5,2,TRUE,2.174968144
2,0,2,-285,3.17,-322.5,2,TRUE,2.514930089
2,0,2,-295,3.37,-327.5,2,TRUE,2.842229172
2,0,2,-305,3.55,-332.5,2,TRUE,3.148888458
2,0,2,-315,3.7,-337.5,2,TRUE,3.41835427
2,0,2,-325,3.81,-342.5,2,TRUE,3.633661582
2,0,2,-335,3.91,-347.5,2,TRUE,3.817317388
2,0,2,-345,3.97,-352.5,2,TRUE,3.9360361
2,0,2,-355,4,-357.5,2,TRUE,3.996192886
3,0,3,-5,5.99,-2.5,3,TRUE,5.984298847
3,0,3,-15,5.95,-7.5,3,TRUE,5.899096925
3,0,3,-25,5.86,-12.5,3,TRUE,5.721094602
3,0,3,-35,5.72,-17.5,3,TRUE,5.455260958
3,0,3,-45,5.54,-22.5,3,TRUE,5.11829261
3,0,3,-55,5.32,-27.5,3,TRUE,4.718897633
3,0,3,-65,5.06,-32.5,3,TRUE,4.267560716
3,0,3,-75,4.76,-37.5,3,TRUE,3.7763619
3,0,3,-85,4.42,-42.5,3,TRUE,3.258765829
3,0,3,-95,4.05,-47.5,3,FALSE,2.736140341
3,0,3,-105,3.65,-52.5,3,FALSE,2.221979216
3,0,3,-115,3.22,-57.5,3,FALSE,1.730104739
3,0,3,-125,2.77,-62.5,3,FALSE,1.279043659
3,0,3,-135,2.3,-67.5,3,FALSE,0.880171894
3,0,3,-145,1.8,-72.5,3,FALSE,0.541270439
3,0,3,-155,1.3,-77.5,3,FALSE,0.281371498
3,0,3,-165,0.78,-82.5,3,FALSE,0.10181043
3,0,3,-175,0.26,-87.5,3,FALSE,0.011341041
3,0,3,-185,0.26,-272.5,3,FALSE,0.011341041
3,0,3,-195,0.78,-277.5,3,FALSE,0.10181043
3,0,3,-205,1.3,-282.5,3,FALSE,0.281371498
3,0,3,-215,1.8,-287.5,3,FALSE,0.541270439
3,0,3,-225,2.3,-292.5,3,FALSE,0.880171894
3,0,3,-235,2.77,-297.5,3,FALSE,1.279043659
3,0,3,-245,3.22,-302.5,3,FALSE,1.730104739
3,0,3,-255,3.65,-307.5,3,FALSE,2.221979216
3,0,3,-265,4.05,-312.5,3,FALSE,2.736140341
3,0,3,-275,4.42,-317.5,3,TRUE,3.258765829
3,0,3,-285,4.76,-322.5,3,TRUE,3.7763619
3,0,3,-295,5.06,-327.5,3,TRUE,4.267560716
3,0,3,-305,5.32,-332.5,3,TRUE,4.718897633
3,0,3,-315,5.54,-337.5,3,TRUE,5.11829261
3,0,3,-325,5.72,-342.5,3,TRUE,5.455260958
3,0,3,-335,5.86,-347.5,3,TRUE,5.721094602
3,0,3,-345,5.95,-352.5,3,TRUE,5.899096925
3,0,3,-355,5.99,-357.5,3,TRUE,5.984298847
4,0,4,-5,7.99,-2.5,4,TRUE,7.98239529
4,0,4,-15,7.93,-7.5,4,TRUE,7.862157751
4,0,4,-25,7.81,-12.5,4,TRUE,7.624871816
4,0,4,-35,7.63,-17.5,4,TRUE,7.276860334
4,0,4,-45,7.39,-22.5,4,TRUE,6.827469745
4,0,4,-55,7.1,-27.5,4,TRUE,6.297776916
4,0,4,-65,6.75,-32.5,4,TRUE,5.692892259
4,0,4,-75,6.35,-37.5,4,TRUE,5.037793711
4,0,4,-85,5.9,-42.5,4,TRUE,4.349936287
4,0,4,-95,5.4,-47.5,4,FALSE,3.648187121
4,0,4,-105,4.87,-52.5,4,FALSE,2.964668159
4,0,4,-115,4.3,-57.5,4,FALSE,2.310388316
4,0,4,-125,3.69,-62.5,4,FALSE,1.703852383
4,0,4,-135,3.06,-67.5,4,FALSE,1.171011303
4,0,4,-145,2.41,-72.5,4,FALSE,0.724700977
4,0,4,-155,1.73,-77.5,4,FALSE,0.374440532
4,0,4,-165,1.04,-82.5,4,FALSE,0.13574724
4,0,4,-175,0.35,-87.5,4,FALSE,0.015266786
4,0,4,-185,0.35,-272.5,4,FALSE,0.015266786
